"sample","easting","northing","altitude","mintemp","precipitation","distwater","aspect","slope","distfarm","distpoul","density","vegtype","dist_urb","year","island","age","malaria","lk6","lk5","kys9","ps1530","x5239s1","x7259s1","tlr4_1","tlr4_2","tlr4_3","tlr4_4","x5239s1_a","x5239s1_t","x7259s1_a","x7259s1_t","tlr4_1_a","tlr4_1_g","tlr4_2_a","tlr4_2_g","tlr4_3_c","tlr4_3_t","tlr4_4_a","tlr4_4_c","tlr4_prot_1","tlr4_prot_2","tlr4_prot_3","tlr4_prot_4","x5239s1_t_2","x7259s1_a_2","tlr4_1_g_2","tlr4_2_a_2","tlr4_3_c_2","tlr4_4_c_2","x5239s1_het","x7259s1_het","tlr4_1_het","tlr4_2_het","tlr4_3_het","tlr4_4_het","tlr4_het","distwater_cat","disturb_cat","distfarm_cat","distpoul_cat"
1121,358968,3120985,160,13.6,277.9734,110.089527,"E",6.662,972.100817,3193.363117,0.967,"Shrub",140.012628,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","TT","AA",1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","median far","median far","median far"
1122,358870,3120856,134,13.6,272.8642,62.682616,"S",8.954,1133.194599,3033.408149,0.763,"Shrub",130.972726,2011,"TF","adult","N","N","N","N","N","TT","AA","AA","GG","CC","CC",0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,2,2,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","close","median far","median far","median far"
1123,359231,3115941,1,14.39,255,924.12337,"E",1.37,1674.510674,2275.304155,0.509,"Grass",51.726078,2011,"TF","adult","Y","Y","N","N","N","AA","AA","AA","GG","CC","CC",1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","far","median close","far","median far"
1124,359159,3115988,6,14.27,255,838.63252,"SE",2.769,1606.12982,2198.998408,0.458,"Grass",67.355867,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","TT","AC",1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,"homozygous","heterozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","far","median close","far","median far"
1125,359489,3114764,22,14.3,256,222.562212,"NE",1.518,2838.038935,3443.34866,0.509,"Shrub",50.052341,2011,"TF","adult","N","N","N","N","N","AT","AT","AA","GG","TT","AA",1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,"heterozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","median close","far","far"
1126,359509,3114774,22,14.3,256,222.562212,"NE",1.518,2838.038935,3443.34866,0.509,"Shrub",50.052341,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","median close","far","far"
1127,359482,3114258,7,14.4,254,278.674248,"E",2.241,2813.163699,3908.966743,0.509,"Shrub",111.610981,2011,"TF","adult","N","N","N","N","N","AT","TT","AA","GG","TT","AC",1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,"heterozygous","homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","median far","median far","far","far"
1128,358525,3116437,35,14.1,265,86.151957,"S",6.754,1079.800907,1537.080674,0.611,"Shrub",205.684427,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CC","CC",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,2,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","close","median far","median far","median close"
1129,357555,3114169,60,14.1,255,532.937201,"SE",3.984,914.597179,3686.006646,0.763,"Shrub",122.067307,2011,"TF","adult","Y","Y","N","N","N","AT","AA","AA","GG","CT","AC",1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,2,0,0,1,1,"heterozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median far","median far","median far","far"
1130,357575,3114189,60,14.1,255,532.937201,"SE",3.984,914.597179,3686.006646,0.763,"Shrub",122.067307,2011,"TF","adult","N","N","N","N","N","AA","AA","AA","GG","CT","AC",1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,2,0,0,1,1,"homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median far","median far","median far","far"
1131,356472,3112946,81,14,263,170.906692,"S",2.088,714.548808,3116.555309,0.407,"Shrub",98.421718,2011,"TF","adult","N","N","N","N","N","TT","AT","AA","GG","CT","AC",0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,2,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","median close","median close","median far"
1132,356227,3111860,19,14.37,255.7339,371.981582,"E",5.542,758.18863,3135.592448,0.254,"Shrub",149.153307,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median far","median far","median far","median far"
1133,355551,3111191,44,14.4,256,205.956609,"SW",7.331,682.683674,2926.359683,0.407,"Shrub",131.082819,2011,"TF","adult","N","N","N","N","N","AT","TT","AA","GG","CC","CC",1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,2,2,"heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","median far","median close","median far"
1134,354750,3109830,38,14.4,255.5324,94.661216,"SE",3.315,781.158114,3582.251387,0.407,"Shrub",268.356188,2011,"TF","adult","Y","Y","N","N","N","TT","AT","AA","GG","CT","AC",0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,2,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","close","median far","median far","far"
1135,352248,3106825,9,14.4,254,471.586037,"SE",2.788,2954.331057,3032.942465,0.203,"Shrub",490.43696,2011,"TF","adult","N","N","N","N","N","AA","TT","AA","GG","CC","CC",1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median far","far","far","median far"
1136,351120,3107097,71,13.87,266.8415,253.714352,"SE",3.589,2314.362979,2314.362979,0.254,"Shrub",298.540066,2011,"TF","adult","Y","Y","N","N","N","AA","TT","AA","GG","CC","CC",1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","far","far","median far"
1137,351140,3107105,71,13.87,266.8415,253.714352,"SE",3.589,2314.362979,2314.362979,0.254,"Shrub",298.540066,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CC","CC",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,2,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","far","far","median far"
1138,348157,3103604,47,14.16,257,30.049064,"S",1.957,1315.129271,1315.129271,0.407,"Urban",39.557023,2011,"TF","adult","N","N","N","N","N","AT","TT","AA","GG","CT","CC",1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,2,"heterozygous","homozygous","homozygous","homozygous","heterozygous","homozygous","homozygous","close","close","far","median close"
1139,348284,3103519,38,14.2,257,178.289466,"E",6.352,1298.816769,1298.816769,0.407,"Shrub",162.061487,2011,"TF","adult","Y","Y","N","N","N","AA","AA","AA","GG","CC","CC",1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","median far","far","median close"
1140,347024,3104459,76,13.71,271,516.319192,"S",1.327,911.653442,2036.606245,0.509,"Grass",69.462646,2011,"TF","adult","N","N","N","N","N","AA","TT","AA","GG","CT","AC",1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,"homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median far","median close","median far","median far"
1141,346874,3105618,141,13.6,278,300.306848,"S",4.683,675.562728,1818.366849,0.356,"Shrub",34.983369,2011,"TF","adult","Y","Y","N","N","N","AA","AA","AA","GG","CC","CC",1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median far","close","median close","median close"
1142,353992,3112888,170,13.3,292,598.587611,"NE",2.3,676.533073,676.533073,0.458,"Shrub",409.843289,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median far","far","median close","close"
1143,353501,3113740,227,12.9,316,14.899511,"W",3.122,296.624341,623.910249,0.458,"Urban",20.471256,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","close","close","close","close"
1144,353340,3114471,296,12.6,324.1989,16.069988,"SE",2.655,454.96813,1339.164665,0.611,"Shrub",123.648572,2011,"TF","adult","Y","Y","N","N","N","AA","TT","AA","GG","TT","AA",1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","close","median far","median close","median close"
1145,352565,3115660,492,11.3,360,44.972951,"SE",5.937,1050.890098,2650.358466,0.458,"Urban",86.204654,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","TT","AC",1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,"homozygous","heterozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","close","median close","median far","median far"
1146,344231,3105133,187,13.59,285.0562,78.657882,"SE",4.997,593.385203,593.385203,0.458,"Shrub",100.927052,2011,"TF","adult","N","N","N","N","N","TT","AT","AA","GG","CT","AC",0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,2,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","close","median close","median close","close"
1147,344251,3105145,187,13.59,285.0562,78.657882,"SE",4.997,593.385203,593.385203,0.458,"Shrub",100.927052,2011,"TF","adult","N","N","N","N","N","AA","TT","AA","GG","CT","AC",1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,"homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","close","median close","median close","close"
1148,344220,3105272,192,13.58,294.9283,119.021125,"SE",4.877,486.57579,486.57579,0.458,"Shrub",119.419996,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","median far","median close","close"
1149,343390,3104378,140,13.6,287.8378,244.157863,"S",6.288,572.496288,1706.168807,0.611,"Shrub",18.751515,2011,"TF","adult","N","N","N","N","N","AA","TT","AA","GG","CT","AC",1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,"homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","close","median close","median close"
1150,346595,3102159,9,14.3,254,180.744824,"S",1.479,3221.530847,3441.043155,0.407,"Shrub",177.084181,2011,"TF","adult","Y","Y","N","N","N","AA","TT","AA","GG","CT","CC",1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,2,"homozygous","homozygous","homozygous","homozygous","heterozygous","homozygous","homozygous","median close","median far","far","far"
1151,346615,3102179,9,14.3,254,180.744824,"S",1.479,3221.530847,3441.043155,0.407,"Shrub",177.084181,2011,"TF","adult","Y","Y","N","N","N","AT","AT","AA","GG","CC","CC",1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,2,2,"heterozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","median far","far","far"
1152,363491,3134924,179,13.5,306,21.076126,"SE",6.381,411.588386,654.574671,0.916,"Urban",112.674109,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","close","median far","close","close"
1153,363501,3134934,179,13.5,306,21.076126,"SE",6.381,411.588386,654.574671,0.916,"Urban",112.674109,2011,"TF","adult","Y","Y","N","N","N","AA","TT","AA","GG","CT","AC",1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,"homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","close","median far","close","close"
1154,363768,3135775,193,13.2,304.9382,105.913552,"SE",5.589,229.636669,229.636669,0.814,"Shrub",38.848289,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CC","CC",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,2,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","close","close","close"
1155,363510,3136963,256,13.1,324,80.26485,"SE",11.546,26.907248,26.907248,0.458,"Urban",8.223111,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","TT","AC",1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,"homozygous","heterozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","close","close","close","close"
1156,370435,3144245,351,14.5,327.1908,244.846192,"E",4.584,453.64744,2401.442274,0.713,"Shrub",48.802361,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CC","CC",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,2,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","median close","median close","median far"
1157,370321,3144218,360,14.5,328.4659,300.378231,"SE",5.241,443.541429,2350.886215,0.713,"Shrub",48.304104,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CC","CC",1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,2,"homozygous","heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median far","median close","median close","median far"
1158,370415,3144255,351,14.5,327.1908,244.846192,"E",4.584,453.64744,2401.442274,0.713,"Shrub",48.802361,2011,"TF","adult","Y","Y","N","N","N","AA","AA","AA","GG","CC","CC",1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","median close","median close","median far"
1159,369516,3146303,565,10.86,464,115.814388,"E",6.978,420.86221,1000.017999,0.509,"Shrub",33.820376,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","close","close","median close"
1160,369546,3146315,565,10.86,464,115.814388,"E",6.978,420.86221,1000.017999,0.509,"Shrub",33.820376,2011,"TF","adult","Y","Y","N","N","N","AA","TT","AA","GG","TT","AA",1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","close","close","median close"
1161,369156,3144206,414,13.92,363.551,638.953383,"SE",2.566,302.200264,1724.465424,0.814,"Shrub",44.254377,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CT","CC",1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,2,"homozygous","heterozygous","homozygous","homozygous","heterozygous","homozygous","homozygous","median far","close","close","median close"
1162,369177,3143560,365,13.98,279,742.551116,"SE",9.167,724.106345,2352.439159,0.56,"Shrub",77.67263,2011,"TF","adult","Y","Y","N","N","N","AA","TT","AA","GG","CT","AC",1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,"homozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","far","median close","median far","median far"
1163,368054,3149121,718,8.61,559.0314,1018.496325,"E",4.6,1099.172415,1279.678084,0.254,"Urban",156.011381,2011,"TF","adult","N","N","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","far","median far","median far","median close"
1164,367543,3149472,738,8.9,567,754.447855,"NE",5.874,753.197185,1618.446786,0.203,"Urban",33.611037,2011,"TF","adult","N","N","N","N","N","AA","TT","AA","GG","CT","CC",1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,2,"homozygous","homozygous","homozygous","homozygous","heterozygous","homozygous","homozygous","far","close","median far","median close"
1165,367563,3149485,738,8.9,567,754.447855,"NE",5.874,753.197185,1618.446786,0.203,"Urban",33.611037,2011,"TF","adult","N","N","N","N","N","AT","AA","AA","GG","CC","CC",1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,2,0,0,2,2,"heterozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","far","close","median far","median close"
1166,369739,3150830,629,9.5,531.0081,246.495913,"NE",5.233,281.001779,2680.610751,0.203,"Grass",17.825038,2011,"TF","adult","Y","Y","N","N","N","AA","AA","AA","GG","CC","CC",1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,2,2,"homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","homozygous","median close","close","close","median far"
1167,369122,3147894,628,9.51,508.7035,150.313969,"E",2.525,498.78352,1342.197079,0.407,"Urban",58.001774,2011,"TF","adult","Y","Y","N","N","N","AT","AA","AA","GG","CT","AC",1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,2,0,0,1,1,"heterozygous","homozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","median close","median close","median close"
1168,369058,3146963,621,9.52,482.8284,183.1178,"SE",5.252,267.031833,1196.695449,0.509,"Urban",74.382388,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","median close","close","median close"
1169,370363,3143379,225,14.5,264.7253,207.238179,"SE",10.116,490.493628,3017.978296,0.662,"Urban",38.902835,2011,"TF","adult","Y","Y","N","N","N","AA","AA","AA","GG","CT","CC",1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,2,0,0,1,2,"homozygous","homozygous","homozygous","homozygous","heterozygous","homozygous","homozygous","median close","close","median close","median far"
1170,370383,3143383,225,14.5,264.7253,207.238179,"SE",10.116,490.493628,3017.978296,0.662,"Urban",38.902835,2011,"TF","adult","Y","Y","N","N","N","AA","AT","AA","GG","CT","AC",1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,"homozygous","heterozygous","homozygous","homozygous","heterozygous","heterozygous","heterozygous","median close","close","median close","median far"
